id,Story,StoryText,user,fun,goal,nonfun
50,story 50,"As a broker team member, I want to ensure the Broker resources, validations, and P&P pages are updated appropriately for the launch of FABS and DAIMS v1.1.",broker team member, to ensure the Broker ,NULL,appropriately
51,story 51,"As a Developer, I want the data loaded from historical FABS to include the FREC derivations, so that I can have consistent FREC data for USASpending.gov.",Developer, include the FREC derivations, have consistent FREC data ,NULL
52,story 52,"As a user, I don't want to see NASA grants displayedAs contracts.",user, to see NASA grants ,NULL,NULL
53,story 53,"As a user, I want the DUNS validations to accept records whose ActionTypes are B, C, or D and the DUNS is registered in SAM, even though it may have expired. ",user, the DUNS validations to ,NULL,NULL
54,story 54,"As a user, I want the DUNS validations to accept records whose ActionDates are before the current registration date in SAM, but after the initial registration date.",user, the DUNS validations to ,NULL,NULL
55,story 55,"As a broker team member, I want to derive FundingAgencyCode, so that the data quality and completeness improves.",broker team member, derive , the data quality and ,NULL
56,story 56,"As an agency user, I want the maximum length allowed for LegalEntityAddressLine3 to match Schema v1.1.",agency user, the maximum length allowed ,NULL,NULL
57,story 57,"As an agency user, I want to use the schema v1.1 headers in my FABS file.",agency user, to use the schema ,NULL,NULL
58,story 58,"As a agency user, I want to map the FederalActionObligation properly to the Atom Feed.",agency user, to map the FederalActionObligation ,NULL,proper
58,story 58,"As a agency user, I want to map the FederalActionObligation properly to the Atom Feed.",agency user, to map the FederalActionObligation ,NULL,properly
59,story 59,"As a Broker user, I want to have PPoPZIP+4 work the sameAs the Legal Entity ZIP validations.",Broker user, to have PPoPZIP+4 work ,NULL,NULL
60,story 60,"As a FABS user, I want to link the SAMPLE FILE on the ""What you want  to submit"" dialog to point to the correct file, so that I have an accurate reference for my agency submissions.",FABS user, link the SAMPLE FILE , I have an accurate ,NULL
61,story 61,"As an Agency user, I want FPDS data to be up-to-date daily.",Agency user, FPDS data to be ,NULL,daily
62,story 62,"As a user, I want to access the raw agency published files from FABS via USAspending.",user, to access the raw ,NULL,NULL
63,story 63,"As a Developer , I want to determine how agencies will generate and validate D Files from FABS and FPDS data.",Developer, to determine how agencies ,NULL,NULL
64,story 64,"As a user, I want to generate and validate D Files from FABS and FPDS data.",user, to generate and validate ,NULL,NULL
65,story 65,"As an Agency user, I want the header information box to show updated date AND time, so that I know when it was updated.",Agency user, show updated date AND , I know when it ,NULL
66,story 66,"As an Agency user, I want to receive a more helpful file-level error when I upload a file with the wrong extension.",Agency user, to receive a more ,NULL,NULL
67,story 67,"As a tester, I want to have access to test features in environments other than Staging, so that I can test any nonProd feature in any environment.",tester, have access to test , test any nonProd feature ,NULL
68,story 68,"As a FABS user, I want to submission errors to accurately represent FABS errors, so that I know why my submission didn't work.",FABS user, submission errors to accurately , I know why my ,NULL
69,story 69,"As a FABS user, I want the frontend URLs to more accurately reflect the page I'm accessing, so that I'm not confused.",FABS user, more accurately reflect the , I'm not confused.,NULL
70,story 70,"As an Agency user, I want all historical FinancialAssistance data loaded for FABS go-live.",Agency user, all historical FinancialAssistance data ,NULL,NULL
71,story 71,"As a Developer , I want the historical FPDS data loader to include both extracted historical data and FPDS feed data.",Developer, the historical FPDS data ,NULL,NULL
72,story 72,"As an Agency user, I want historical FPDS data loaded.",Agency user, historical FPDS data loaded.,NULL,NULL
73,story 73,"As an Agency user, I want to accurately see who created a submission, so that I'm not confused about who last updated a submission.",Agency user, accurately see who created , I'm not confused about ,NULL
74,story 74,"As an agency user, I want to get File F in the correct format.",agency user, to get File F ,NULL,NULL
75,story 75,"As an Agency user, I want to better understand my file-level errors.",Agency user, to better understand my ,NULL,better
76,story 76,"As a Developer , I want to provide FABS groups that function under the FREC paradigm.",Developer, to provide FABS groups ,NULL,NULL
77,story 77,"As a tester, I want to ensure that FABS is deriving fields properly through a robust test file plus a follow up check.",tester, to ensure that FABS ,NULL,proper
77,story 77,"As a tester, I want to ensure that FABS is deriving fields properly through a robust test file plus a follow up check.",tester, to ensure that FABS ,NULL,properly
78,story 78,"As an owner, I only want zero-padded fields, so that I can justify padding.",owner, zero-padded , justify ,NULL
79,story 79,"As a Broker user, I want to submit records for individual recipients without receiving a DUNS error.",Broker user, to submit records for ,NULL,NULL
80,story 80,"As a user, I want more information about how many rows will be published prior to deciding whether to publish.",user, more information about how ,NULL,NULL
81,story 81,"As a Developer, I want to prevent duplicate transactions from being published and deal with the time gap between validation and the publishing decision.",Developer, to prevent duplicate transactions ,NULL,NULL
82,story 82,"As a FABS user, I want to submit a citywideAs a PPoPZIP and pass validations.",FABS user, to submit a citywideAs ,NULL,NULL
83,story 83,"As a Broker user, I want to have updated error codes that accurately reflect the logic and provide enough information, so that I can fix my submission.",Broker user, have updated error codes , fix my submission.,NULL
84,story 84,"As an agency user, I want to leave off the last 4 digits of the ZIP without an error, so that I can complete my submissions.",agency user, leave off the last , complete my submissions.,NULL
85,story 85,"As a FABS user, I want to make sure the historical data includes all necessary columns, so that the information in the database is correct.",FABS user, make sure the historical , the information in the ,NULL
86,story 86,"As a data user, I want to access two additional fields from the FPDS data pull.",data user, to access two additional ,NULL,NULL
87,story 87,"As a FABS user, I want additional helpful info in the submission dashboard, so that I can better manage submissions and IG requests.",FABS user, additional helpful info in , better manage submissions and ,better
88,story 88,"As a FABS user, I want to download the uploaded FABS file, so that I can get the uploaded file.",FABS user, download the uploaded FABS , get the uploaded file.,NULL
89,story 89,"As a Developer, I want to quickly access Broker application data, so that I can investigate issues.",Developer, quickly access Broker application , investigate ,quickly
90,story 90,"As a Developer , I want to determine the best way to load historical FPDS data, so that I can load all FPDS data since 2007.",Developer, determine the best way , load all FPDS data ,best
91,story 91,"As a FABS user, I want the language on FABS pages to be appropriate for me, so that I am not confused.",FABS user, be appropriate for me, I am not confused.,NULL
92,story 92,"As a FABS user, I do not want  DABS banner messages and vice versa, so that I have the appropriate information for my application.",FABS user,  DABS banner messages , I have the appropriate ,NULL
93,story 93,"As a FABS user, I want to have read-only access to DABS, so that I can view DABS pages without wanting two sets of permissions.",FABS user, have read-only access to , view DABS pages without ,NULL
94,story 94,"As a FABS user, I want to have my validations run in a reasonable amount of time.",FABS user, to have my validations ,NULL,NULL
95,story 95,"As a FABS user, I want to see correct status labels on the Submission Dashboard, so that I can quickly see my submission history.",FABS user, see correct status labels , quickly see my submission ,quickly
96,story 96,"As an agency user, I want to know when the submission periods start and end, so that I know when the submission starts and ends.",agency user, know when the submission , I know when the ,NULL
97,story 97,"As an agency user, I want a landing page to navigate to either FABS or DABS pages, so that I can access both sides of the site.",agency user, navigate to either FABS , access both sides of ,NULL
98,story 98,"As an agency user, I want to submit my data elements surrounded by quotation marks, so that Excel won't strip off leading and trailing zeroes.",agency user, submit my data elements , Excel won't strip off ,NULL
99,story 99,"As a Public User, I want to Search for Information, so that I can obtain publicly available information concerning properties, County services, processes and other general information.",Public User, Search for Information, obtain publicly available information ,proper
100,story 100,"As a ProspectiveApplicant, I want to research requirements and to select a service, so that I can find the relevant service and/or application type to initiate via the online portal.",ProspectiveApplicant, research requirements and to , find the relevant service ,NULL
101,story 101,"As an Applicant, I want to Request PreApplicationAssistance, so that I can receive a response to a request for a meeting or information that is a result of the preapplicationAssistance.",Applicant, Request , receive a response to ,NULL
102,story 102,"As a Customer, I want to Create a Customer Portal User Account, so that I can log on to the Customer Portal and perform transactions that first require user authentication.",Customer, Create a Customer Portal , log on to the ,NULL
103,story 103,"As an Applicant, I want to Submit Application, so that I can provide my information, plans and/or documents to initiate a transaction with the County.",Applicant, Submit ," provide my information, plans ",NULL
104,story 104,"As an Applicant, I want to Submit Supporting Documentation, so that I can satisfy documentation requirements for my application.",Applicant, Submit Supporting Documentation, satisfy documentation requirements for ,NULL
105,story 105,"As an Applicant, I want to Pay Fee, so that I can satisfy outstanding chargeAssociated with the service requested or received from the County.",Applicant, Pay , satisfy outstanding chargeAssociated with ,NULL
106,story 106,"As an Applicant, I want to Check the Status of a transaction, so that I can understand where the provisioning of my service is in the process, suchAs information related to service levels, fees, plan review, permit, or inspection results.",Applicant, Check the Status of , understand where the provisioning ,NULL
107,story 107,"As an Applicant, I want to Modify my Application, so that I can successfully change information on an application.",Applicant, Modify my Application, successfully change information on ,NULL
108,story 108,"As a Staff member, I want to Perform a Completeness Review, so that I can validate when an application is complete and eligible for further technical review.",Staff member, Perform a Completeness Review, validate when an application ,NULL
109,story 109,"As a Staff member, I want to Record an Internal Note, so that I can share information with other Staff collaborating on the record.",Staff member, Record an Internal Note, share information with other ,NULL
110,story 110,"As a Staff member, I want toAssign an Application for Detailed Review, so that I can review the for compliance and subsequently approved or denied.",Staff member, toAssign an Application for , review the for compliance ,NULL
111,story 111,"As a Staff member, I want to Apply a Hold, so that I can prevent progression through the workflow or other actions in the system until the issue is resolved.",Staff member, Apply a Hold, prevent progression through the ,NULL
112,story 112,"As a Staff member, I want to Remove a Hold, so that I can allow progression through the workflow or other actions in the system now that the issue has been resolved.",Staff member, Remove a Hold, allow progression through the ,NULL
113,story 113,"As a Staff member, I want to Send a Formal Response to Applicant, so that I can satisfy communication and records responsibilities.",Staff member, Send a Formal Response , satisfy communication and records ,NULL
114,story 114,"As a Staff member, I want to Track  the Draft Proffers, so that I can preserve the history of draft proffer statements submitted by the Applicant.",Staff member, Track  the Draft , preserve the history of ,NULL
115,story 115,"As a Staff member, I want to Manage Approved Proffers, so that I can ensure compliance with and satisfaction of the proffer in the future.",Staff member, Manage Approved Proffers, ensure compliance with and ,NULL
116,story 116,"As a Staff member, I want to Manage Ordinances, so that I can maintain accurate ordinance information in the System.",Staff member, Manage , maintain accurate ordinance information ,NULL
117,story 117,"As a Staff member, I want to Schedule a Meeting, so that I can bring the required parties together at a specific date/time to address an issue.",Staff member, Schedule a Meeting, bring the required parties ,NULL
118,story 118,"As a staff member, I want to denote an application with a Final Action status. So that I can finish it.",staff member, to denote an application , finish ,NULL
119,story 119,"As a Planning Staff member, I want to Conduct and Track Plan Amendments and Planning Studies, so that I can record work in process, outcome, and location-based information related to the Plan(s).",Planning Staff member, Conduct and Track Plan ," record work in process, ",NULL
120,story 120,"As a Planning Staff member, I want to Generate Planning-related Reports, so that I can access, analyze and/or export the needed information in the format I requested.",Planning Staff member, Generate Planning-related Reports," access, analyze and/or export ",NULL
121,story 121,"As a Planning Staff member, I want to Evaluate Consistency with the Comprehensive Plan, so that I can complete my required review of a plan set and/or application.",Planning Staff member, Evaluate Consistency with the , complete my required review ,NULL
122,story 122,"As a Staff member, I want to Perform a Staff Review, so that I can validate compliance of an application with the Zoning Ordinance and impact approval/denial of the application accordingly.",Staff member, Perform a Staff Review, validate compliance of an ,NULL
123,story 123,"As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant.",Zoning Staff member, Process the Requests for , capture my response to ,NULL
124,story 124,"As a Zoning Staff member, I want to Issue the Zoning-Related Permits, so that I can satisfy an Applicant's request for service that has proven to be eligible and in compliance with the Zoning Ordinance.",Zoning Staff member, Issue the Zoning-Related Permits, satisfy an Applicant's request ,NULL
125,story 125,"As a Staff member, I want to Develop a Staff Report, so that I can publish and distribute the report according to business rules.",Staff member, Develop a Staff Report, publish and distribute the ,NULL
126,story 126,"As a Staff member, I want to Manage Hearing Calendars, so that I can track hearing-related activities and due dates.",Staff member, Manage Hearing Calendars, track hearing-related activities and ,NULL
127,story 127,"As a Staff member, I want toAssign a Hearing Date, so that I can present the application to the appropriate governing body within the timelines dictated by the relevant County rules and procedures.",Staff member, toAssign a Hearing Date, present the application to ,NULL
128,story 128,"As a Staff member, I want to Manage Affidavits, so that I can ensure compliance with the requirements prior to the hearing.",Staff member, Manage , ensure compliance with the ,NULL
129,story 129,"As an Applicant, I want to Satisfy Hearing Requirements, so that I can ensure all pre-hearing requirements are satisfied in time for the hearing.",Applicant, Satisfy Hearing Requirements, ensure all pre-hearing requirements ,NULL
130,story 130,"As a Staff member, I want to Prepare for and Support Hearing Execution, so that I can ensure all pre-hearing requirements are satisfied and staff and Applicant are ready for the hearing.",Staff member, Prepare for and Support , ensure all pre-hearing requirements ,NULL
131,story 131,"As a Staff member, I want to Capture a Hearing Decision, so that I can enforce the system.",Staff member, Capture a Hearing Decision, enforce the system.,NULL
132,story 132,"As a Staff member, I want to Process the Appeals, so that I can track the outcome and record the impact on the relevant records.",Staff member, Process the Appeals, track the outcome and ,NULL
133,story 133,"As a Plan Review Staff member, I want toAssign Plans for Review, so that I can ensure plans have beenAssigned to the appropriate Plan Reviewer.",Plan Review Staff member, toAssign Plans for Review, ensure plans have beenAssigned ,NULL
134,story 134,"As a Plan Review Staff Supervisor, I want to Manage Plan Reviewer Workload, so that I can monitor and effectively adjust workloadAs necessary and ensure service levels are met",Plan Review Staff Supervisor, Manage Plan Reviewer Workload, monitor and effectively adjust ,effectively
135,story 135,"As an Applicant, I want to Request a Plan Review Meeting, so that I can meet with the Plan Review Staff regarding the plan review.",Applicant, Request a Plan Review , meet with the Plan ,NULL
136,story 136,"As a Plan Review Staff member, I want to successfully Conduct a Plan Review Meeting with the Applicant and record the outcome, so that I can listen to it again.",Plan Review Staff member, successfully Conduct a Plan , listen to it again.,NULL
137,story 137,"As a Plan Review Staff member, I want to Review Plans, so that I can review them for compliance and either approve, or fail or deny the plans and record any conditions, clearances, or corrections needed from the Applicant.",Plan Review Staff member, Review , review them for compliance ,NULL
138,story 138,"As an Applicant, I want to Resubmit Plans, so that I can review revised plans. ",Applicant, Resubmit , review revised plans. ,NULL
139,story 139,"As a Plan Review Staff Member, I want to Review the Code Modifications submitted by the Applicant, so that I can review the request and if approved,Associate it with the appropriate project.",Plan Review Staff Member, Review the Code Modifications , review the request and ,NULL
140,story 140,"As a Plan Review Staff member, I want to Track the Completion of Required Plan Reviews, so that I can ensure all plan review tasks are completed, results have been sent to the Applicant and any downstream steps are initiated such has a final review or payment for permit issuance.",Plan Review Staff member, Track the Completion of , ensure all plan review ,NULL
141,story 141,"As a Development Staff member, I want to Issue a Development-related Permit, so that I can grant the request to the Applicant to begin work",Development Staff member, Issue a Development-related Permit, grant the request to ,NULL
142,story 142,"As a Staff member, I want to Manage Bonds, so that I can track and manage bonds throughout the lifecycle of the project until release.",Staff member, Manage , track and manage bonds ,NULL
143,story 143,"As an Applicant, I want to Complete Building Development Project, so that I can receive any posted bond and/or obtain occupancy.",Applicant, Complete Building Development Project, receive any posted bond ,NULL
144,story 144,"As an Applicant, I want to Complete Building Development Project, so that I can receive any posted bond and/or obtain occupancy.",Applicant, Complete Building Development Project, receive any posted bond ,NULL
145,story 145,"As a Customer, I want to Request Inspection, so that a County inspector isAssigned to perform an inspection of my project.",Customer, Request , a County inspector isAssigned ,NULL
146,story 146,"As an Inspection Staff member, I want to Create an Inspection, so that I can schedule andAssign the inspection.",Inspection Staff member, Create an Inspection, schedule andAssign the inspection.,NULL
147,story 147,"As an Inspection Staff Supervisor, I want toAssign Inspections, so that I can make sure the appropriate Inspector receives the work.",Inspection Staff Supervisor, toAssign , make sure the appropriate ,NULL
148,story 148,"As an Inspection Supervisor, I want to Manage Inspector Workload, so that I can meet service level and quality requirements.",Inspection Supervisor, Manage Inspector Workload, meet service level and ,NULL
149,story 149,"As an Inspector, I want to Conduct Inspections, so that I can validate Customer compliance with code and regulations and provide results of the inspection to the Customer.",Inspector, Conduct , validate Customer compliance with ,NULL
150,story 150,"As an Enforcement Staff member, I want to Issue a Notice of Violation, so that I can provide formal communication to the responsible party.",Enforcement Staff member, Issue a Notice of , provide formal communication to ,NULL
151,story 151,"As a l Staff member, I want to search for Property information, so that I can obtain allAssociated current and historic owners, permits, and applications.",l Staff member, search for Property information, obtain allAssociated current and ,proper
152,story 152,"As a Staff member, I need to be notified when Geospatial attributes change, so that I can ensure that I am reviewing the permit/application to the most current data and appropriate standards.",Staff member,NULL, ensure that I am ,most
153,story 153,"As a County Staff Member, I want to create a custom query/report outside of the common querying/reporting functionality, so that I can fulfill a request.",County Staff Member, create a custom query/report , fulfill a request.,NULL
154,story 154,"As a Staff member, I want to create each condo unit, so that I canAssociate it to the child parcel and address after the condominiums are recorded in the system.",Staff member, create each condo unit,Associate it to the child ,NULL
155,story 155,"As a Technical Staff member, I want to update the GIS Property Management, so that I can successfully update the transactional Parcel Pin to reference the GIS layer where the Split or Merged Parcel Pin exists.",Technical Staff member, update the GIS Property , successfully update the transactional ,proper
156,story 156,"As a Staff member, I want to Send or Post Citations and Fines, so that I can successfully send the Notice Of Violation document to the property owner and log information about the action.",Staff member, Send or Post Citations , successfully send the Notice ,proper
157,story 157,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps.",user, click on the address, it takes me to ,NULL
158,story 158,"As a user, I want to be able to anonymously view public information, so that I know about recycling centers near me before creating an account.",user, be able to anonymously , I know about recycling ,NULL
159,story 159,"As a user, I want to be able to enter my zip code and get a list of nearby recycling facilities, so that I can determine which ones I should consider.",user, be able to enter , determine which ones I ,NULL
160,story 160,"As a user, I want to be able to get the hours of each recycling facility, so that I can arrange drop-offs on my off days or during after-work hours.",user, be able to get , arrange drop-offs on my ,NULL
161,story 161,"As a user, I want to have a flexible pick up time, so that I can more conveniently use the website.",user, have a flexible pick , more conveniently use the ,NULL
162,story 162,"As a user, I want to be able to select different types of recyclable waste, so I have and get a list of facilities that accept each type and their opening hours, so that I can find an optimal route and schedule.",user, be able to select , find an optimal route ,NULL
163,story 163,"As a user, I want to add donation centersAs favorites on my profile, so that I can view them later.",user, add donation centersAs favorites , view them later.,NULL
164,story 164,"As a user, I want to be able to give my email ID, so that I can receive notifications for new eventsAs they are posted.",user, be able to give , receive notifications for new ,NULL
165,story 165,"As a user, I want to be able to view a map display of the public recycling bins around my area.",user, to be able to ,NULL,NULL
166,story 166,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",user, to be able to ,NULL,NULL
167,story 167,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",user, to be able to ,NULL,NULL
168,story 168,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.",user, choose a flexible pick , more conveniently use the ,NULL
169,story 169,"As a user, I want to view user documentation for the website, so that I know how to use the web app.",user, view user documentation for , I know how to ,NULL
170,story 170,"As a user, I want to get feedback when I enter an invalid zip code.",user, to get feedback when ,NULL,NULL
171,story 171,"As a user, I want to be able to create an acocunt, so that I can create my own profile.",user, be able to create , create my own profile.,NULL
172,story 172,"As an admin, I want to be able to add or remove recycling facilities' information, so that users get the most recent information.",admin, be able to add , users get the most ,most
173,story 173,"As an admin, I want to be able to read users' feedback and complaints, so that we can add more features and keep improving the service we provide to them.",admin, be able to read , we can add more ,NULL
174,story 174,"As a user, I want to be able to check transaction history and keep a record of it, so that I can go back when needed.",user, be able to check , go back when needed.,NULL
175,story 175,"As a user, I want to have a great UI and UX from the sites, so that I have a pleasant experience when navigating through them.",user, have a great UI , I have a pleasant ,NULL
176,story 176,"As a user, I want to be able to access the site and do all the other stuffs on all of my electronic devices.",user, to be able to ,NULL,NULL
177,story 177,"As an admin, I want to be able to block specific users based on IP address, so that I can prevent spamming on the websites.",admin, be able to block , prevent spamming on the ,NULL
178,story 178,"As an admin, I want to view a dashboard that monitors all the sites' statuses, so that I can have a sense of what people are doing on our sites and know the service status.",admin, view a dashboard that , have a sense of ,NULL
179,story 179,"As an admin, I want to have all data encrypted, so that important information will not be stolen during a server breach or an attack.",admin, have all data encrypted, important information will not ,NULL
180,story 180,"As an executive, I want to have full access to data related to my company, so that I can have a sense of my company's performance.",executive, have full access to , have a sense of ,NULL
181,story 181,"As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood.",employee, access the route planning , be guided through the ,NULL
182,story 182,"As an employee from the HR department, I want to have access to the full information of all employees working for this business.",employee from the HR department, to have access to ,NULL,NULL
183,story 183,"As a developer, I want to access an API from the website, so that I can integrate it and implement certain features in my own iOS application.",developer, access an API from , integrate it and implement ,NULL
184,story 184,"As a user, I want to be able to receive tempting rewards, so that I have a reason to use the website.",user, be able to receive , I have a reason ,NULL
185,story 185,"As a user, I want to have my personal information kept securely in the database of the website, so that I will not suffer from identity theft or telephone harassment.",user, have my personal information , I will not suffer ,NULL
186,story 186,"As an admin, I want to handle all users' activities, so that I can manage more efficiently.",admin, handle all users' activities, manage more efficiently.,efficiently
187,story 187,"As a company, I want to have a website that is easy to use, so that I can upload or delete stuff step by step.",company, have a website that , upload or delete stuff ,NULL
188,story 188,"As an employee, I want to get quick notifications, so that I can process cases the first time.",employee, get quick notifications, process cases the first ,NULL
189,story 189,"As a company accountant, I want to view all available activity fees online, so that I can easily create a bill statement.",company accountant, view all available activity , easily create a bill ,easily
190,story 190,"As a developer, I want to use bootstrap in the process of developing, so that I can easily design my website.",developer, use bootstrap in the , easily design my website.,easily
191,story 191,"As a developer, I want to attend some UI/UX lessons, so that I can develop an awesome and beautiful features website.",developer, attend some UI/UX lessons, develop an awesome and ,NULL
192,story 192,"As a user, I want to view all locations of recycling centers on a map, so that I can check which routes to take to drop off waste.",user, view all locations of , check which routes to ,NULL
193,story 193,"As a user, I want to upload my week's schedule, so that I can get recommendations for recycling centers that best fit my availability.",user, upload my week's schedule, get recommendations for recycling ,best
