,Title,select ''Title'' aa union 
30,"As an Agency user, I want to be able to include a large number of flexfields without performance impact.","select 30 id,  'As an Agency user, I want to be able to include a large number of flexfields without performance impact.' aa union "
31,"As a Developer , I want to update the FABS sample file to remove FundingAgencyCode after FABS is updated to no longer require the header.","select 31 id,  'As a Developer , I want to update the FABS sample file to remove FundingAgencyCode after FABS is updated to no longer require the header.' aa union "
32,"As an agency user, I want to ensure that deleted FSRS records are not included in submissions.","select 32 id,  'As an agency user, I want to ensure that deleted FSRS records are not included in submissions.' aa union "
33,"As a website user, I want to see updated financialAssistance data daily.","select 33 id,  'As a website user, I want to see updated financialAssistance data daily.' aa union "
34,"As a user, I want the publish button in FABS to deactivate after I click it while the derivations are happening, so that I cannot click it multiple times for the same submission.","select 34 id,  'As a user, I want the publish button in FABS to deactivate after I click it while the derivations are happening, so that I cannot click it multiple times for the same submission.' aa union "
35,"As a Developer , I want to ensure that attempts to correct or delete non-existent records don''t create new published data.","select 35 id,  'As a Developer , I want to ensure that attempts to correct or delete non-existent records don''t create new published data.' aa union "
36,"As an Owner, I want to reset the environment to only take Staging MAX permissions, so that I can ensure that the FABS testers no longer have access.","select 36 id,  'As an Owner, I want to reset the environment to only take Staging MAX permissions, so that I can ensure that the FABS testers no longer have access.' aa union "
37,"As a user, I want the flexfields in my submission file to appear in the warning and error files when the only error is a missing required element.","select 37 id,  'As a user, I want the flexfields in my submission file to appear in the warning and error files when the only error is a missing required element.' aa union "
38,"As a user, I want to have accurate and complete data related to PPoPCode and PPoPCongressionalDistrict.","select 38 id,  'As a user, I want to have accurate and complete data related to PPoPCode and PPoPCongressionalDistrict.' aa union "
39,"As an agency user, I want the FABS validation rules to accept zero and blank for loan records.","select 39 id,  'As an agency user, I want the FABS validation rules to accept zero and blank for loan records.' aa union "
40,"As an Agency user, I want FABS deployed into production, so I can submit my FinancialAssistance data.","select 40 id,  'As an Agency user, I want FABS deployed into production, so I can submit my FinancialAssistance data.' aa union "
41,"As a Developer , I want to clarify to users what exactly is triggering the CFDA error code in each case.","select 41 id,  'As a Developer , I want to clarify to users what exactly is triggering the CFDA error code in each case.' aa union "
42,"As an agency user, I want to be confident that the data coming from SAM is complete.","select 42 id,  'As an agency user, I want to be confident that the data coming from SAM is complete.' aa union "
43,"As a Developer , I want my domain models to be indexed properly, so that I can get validation results back in a reasonable amount of time.","select 43 id,  'As a Developer , I want my domain models to be indexed properly, so that I can get validation results back in a reasonable amount of time.' aa union "
44,"As an agency user, I want the FABS validation rules to accept zero and blank for non-loan records.","select 44 id,  'As an agency user, I want the FABS validation rules to accept zero and blank for non-loan records.' aa union "
45,"As a broker team member, I want to make some updates to the SQL codes for clarity.","select 45 id,  'As a broker team member, I want to make some updates to the SQL codes for clarity.' aa union "
46,"As an agency user, I want to have all derived data elements derived properly.","select 46 id,  'As an agency user, I want to have all derived data elements derived properly.' aa union "
47,"As a broker team member, I want to add the 00***** and 00FORGN PPoPCode cases to the derivation logic.","select 47 id,  'As a broker team member, I want to add the 00***** and 00FORGN PPoPCode cases to the derivation logic.' aa union "
48,"As a data user, I want to see the office names derived from office codes, so that I can have appropriate context for understanding them.","select 48 id,  'As a data user, I want to see the office names derived from office codes, so that I can have appropriate context for understanding them.' aa union "
49,"As a broker user, I want the historical FABS loader to derive fields, so that my agency codes are correct in the PublishedAwardFinancialAssistance table.","select 49 id,  'As a broker user, I want the historical FABS loader to derive fields, so that my agency codes are correct in the PublishedAwardFinancialAssistance table.' aa union "
50,"As a broker team member, I want to ensure the Broker resources, validations, and P&P pages are updated appropriately for the launch of FABS and DAIMS v1.1.","select 50 id,  'As a broker team member, I want to ensure the Broker resources, validations, and P&P pages are updated appropriately for the launch of FABS and DAIMS v1.1.' aa union "
51,"As a Developer, I want the data loaded from historical FABS to include the FREC derivations, so that I can have consistent FREC data for USASpending.gov.","select 51 id,  'As a Developer, I want the data loaded from historical FABS to include the FREC derivations, so that I can have consistent FREC data for USASpending.gov.' aa union "
52,"As a user, I don''t want to see NASA grants displayedAs contracts.","select 52 id,  'As a user, I don''t want to see NASA grants displayedAs contracts.' aa union "
53,"As a user, I want the DUNS validations to accept records whose ActionTypes are B, C, or D and the DUNS is registered in SAM, even though it may have expired. ","select 53 id,  'As a user, I want the DUNS validations to accept records whose ActionTypes are B, C, or D and the DUNS is registered in SAM, even though it may have expired. ' aa union "
54,"As a user, I want the DUNS validations to accept records whose ActionDates are before the current registration date in SAM, but after the initial registration date.","select 54 id,  'As a user, I want the DUNS validations to accept records whose ActionDates are before the current registration date in SAM, but after the initial registration date.' aa union "
55,"As a broker team member, I want to derive FundingAgencyCode, so that the data quality and completeness improves.","select 55 id,  'As a broker team member, I want to derive FundingAgencyCode, so that the data quality and completeness improves.' aa union "
56,"As an agency user, I want the maximum length allowed for LegalEntityAddressLine3 to match Schema v1.1.","select 56 id,  'As an agency user, I want the maximum length allowed for LegalEntityAddressLine3 to match Schema v1.1.' aa union "
57,"As an agency user, I want to use the schema v1.1 headers in my FABS file.","select 57 id,  'As an agency user, I want to use the schema v1.1 headers in my FABS file.' aa union "
58,"As a agency user, I want to map the FederalActionObligation properly to the Atom Feed.","select 58 id,  'As a agency user, I want to map the FederalActionObligation properly to the Atom Feed.' aa union "
59,"As a Broker user, I want to have PPoPZIP+4 work the sameAs the Legal Entity ZIP validations.","select 59 id,  'As a Broker user, I want to have PPoPZIP+4 work the sameAs the Legal Entity ZIP validations.' aa union "
60,"As a FABS user, I want to link the SAMPLE FILE on the ""What you want  to submit"" dialog to point to the correct file, so that I have an accurate reference for my agency submissions.","select 60 id,  'As a FABS user, I want to link the SAMPLE FILE on the ""What you want  to submit"" dialog to point to the correct file, so that I have an accurate reference for my agency submissions.' aa union "
61,"As an Agency user, I want FPDS data to be up-to-date daily.","select 61 id,  'As an Agency user, I want FPDS data to be up-to-date daily.' aa union "
62,"As a user, I want to access the raw agency published files from FABS via USAspending.","select 62 id,  'As a user, I want to access the raw agency published files from FABS via USAspending.' aa union "
63,"As a Developer , I want to determine how agencies will generate and validate D Files from FABS and FPDS data.","select 63 id,  'As a Developer , I want to determine how agencies will generate and validate D Files from FABS and FPDS data.' aa union "
64,"As a user, I want to generate and validate D Files from FABS and FPDS data.","select 64 id,  'As a user, I want to generate and validate D Files from FABS and FPDS data.' aa union "
65,"As an Agency user, I want the header information box to show updated date AND time, so that I know when it was updated.","select 65 id,  'As an Agency user, I want the header information box to show updated date AND time, so that I know when it was updated.' aa union "
66,"As an Agency user, I want to receive a more helpful file-level error when I upload a file with the wrong extension.","select 66 id,  'As an Agency user, I want to receive a more helpful file-level error when I upload a file with the wrong extension.' aa union "
67,"As a tester, I want to have access to test features in environments other than Staging, so that I can test any nonProd feature in any environment.","select 67 id,  'As a tester, I want to have access to test features in environments other than Staging, so that I can test any nonProd feature in any environment.' aa union "
68,"As a FABS user, I want to submission errors to accurately represent FABS errors, so that I know why my submission didn''t work.","select 68 id,  'As a FABS user, I want to submission errors to accurately represent FABS errors, so that I know why my submission didn''t work.' aa union "
69,"As a FABS user, I want the frontend URLs to more accurately reflect the page I''m accessing, so that I''m not confused.","select 69 id,  'As a FABS user, I want the frontend URLs to more accurately reflect the page I''m accessing, so that I''m not confused.' aa union "
70,"As an Agency user, I want all historical FinancialAssistance data loaded for FABS go-live.","select 70 id,  'As an Agency user, I want all historical FinancialAssistance data loaded for FABS go-live.' aa union "
71,"As a Developer , I want the historical FPDS data loader to include both extracted historical data and FPDS feed data.","select 71 id,  'As a Developer , I want the historical FPDS data loader to include both extracted historical data and FPDS feed data.' aa union "
72,"As an Agency user, I want historical FPDS data loaded.","select 72 id,  'As an Agency user, I want historical FPDS data loaded.' aa union "
73,"As an Agency user, I want to accurately see who created a submission, so that I''m not confused about who last updated a submission.","select 73 id,  'As an Agency user, I want to accurately see who created a submission, so that I''m not confused about who last updated a submission.' aa union "
74,"As an agency user, I want to get File F in the correct format.","select 74 id,  'As an agency user, I want to get File F in the correct format.' aa union "
75,"As an Agency user, I want to better understand my file-level errors.","select 75 id,  'As an Agency user, I want to better understand my file-level errors.' aa union "
76,"As a Developer , I want to provide FABS groups that function under the FREC paradigm.","select 76 id,  'As a Developer , I want to provide FABS groups that function under the FREC paradigm.' aa union "
77,"As a tester, I want to ensure that FABS is deriving fields properly through a robust test file plus a follow up check.","select 77 id,  'As a tester, I want to ensure that FABS is deriving fields properly through a robust test file plus a follow up check.' aa union "
78,"As an owner, I only want zero-padded fields, so that I can justify padding.","select 78 id,  'As an owner, I only want zero-padded fields, so that I can justify padding.' aa union "
79,"As a Broker user, I want to submit records for individual recipients without receiving a DUNS error.","select 79 id,  'As a Broker user, I want to submit records for individual recipients without receiving a DUNS error.' aa union "
80,"As a user, I want more information about how many rows will be published prior to deciding whether to publish.","select 80 id,  'As a user, I want more information about how many rows will be published prior to deciding whether to publish.' aa union "
81,"As a Developer, I want to prevent duplicate transactions from being published and deal with the time gap between validation and the publishing decision.","select 81 id,  'As a Developer, I want to prevent duplicate transactions from being published and deal with the time gap between validation and the publishing decision.' aa union "
82,"As a FABS user, I want to submit a citywideAs a PPoPZIP and pass validations.","select 82 id,  'As a FABS user, I want to submit a citywideAs a PPoPZIP and pass validations.' aa union "
83,"As a Broker user, I want to have updated error codes that accurately reflect the logic and provide enough information, so that I can fix my submission.","select 83 id,  'As a Broker user, I want to have updated error codes that accurately reflect the logic and provide enough information, so that I can fix my submission.' aa union "
84,"As an agency user, I want to leave off the last 4 digits of the ZIP without an error, so that I can complete my submissions.","select 84 id,  'As an agency user, I want to leave off the last 4 digits of the ZIP without an error, so that I can complete my submissions.' aa union "
85,"As a FABS user, I want to make sure the historical data includes all necessary columns, so that the information in the database is correct.","select 85 id,  'As a FABS user, I want to make sure the historical data includes all necessary columns, so that the information in the database is correct.' aa union "
86,"As a data user, I want to access two additional fields from the FPDS data pull.","select 86 id,  'As a data user, I want to access two additional fields from the FPDS data pull.' aa union "
87,"As a FABS user, I want additional helpful info in the submission dashboard, so that I can better manage submissions and IG requests.","select 87 id,  'As a FABS user, I want additional helpful info in the submission dashboard, so that I can better manage submissions and IG requests.' aa union "
88,"As a FABS user, I want to download the uploaded FABS file, so that I can get the uploaded file.","select 88 id,  'As a FABS user, I want to download the uploaded FABS file, so that I can get the uploaded file.' aa union "
89,"As a Developer I want to quickly access Broker application data, so that I can investigate issues.","select 89 id,  'As a Developer I want to quickly access Broker application data, so that I can investigate issues.' aa union "
90,"As a Developer , I want to determine the best way to load historical FPDS data, so that I can load all FPDS data since 2007.","select 90 id,  'As a Developer , I want to determine the best way to load historical FPDS data, so that I can load all FPDS data since 2007.' aa union "
91,"As a FABS user, I want the language on FABS pages to be appropriate for me, so that I am not confused.","select 91 id,  'As a FABS user, I want the language on FABS pages to be appropriate for me, so that I am not confused.' aa union "
92,"As a FABS user, I do not want  DABS banner messages and vice versa, so that I have the appropriate information for my application.","select 92 id,  'As a FABS user, I do not want  DABS banner messages and vice versa, so that I have the appropriate information for my application.' aa union "
93,"As a FABS user, I want to have read-only access to DABS, so that I can view DABS pages without wanting two sets of permissions.","select 93 id,  'As a FABS user, I want to have read-only access to DABS, so that I can view DABS pages without wanting two sets of permissions.' aa union "
94,"As a FABS user, I want to have my validations run in a reasonable amount of time.","select 94 id,  'As a FABS user, I want to have my validations run in a reasonable amount of time.' aa union "
95,"As a FABS user, I want to see correct status labels on the Submission Dashboard, so that I can quickly see my submission history.","select 95 id,  'As a FABS user, I want to see correct status labels on the Submission Dashboard, so that I can quickly see my submission history.' aa union "
96,"As an agency user, I want to know when the submission periods start and end, so that I know when the submission starts and ends.","select 96 id,  'As an agency user, I want to know when the submission periods start and end, so that I know when the submission starts and ends.' aa union "
97,"As an agency user, I want a landing page to navigate to either FABS or DABS pages, so that I can access both sides of the site.","select 97 id,  'As an agency user, I want a landing page to navigate to either FABS or DABS pages, so that I can access both sides of the site.' aa union "
98,"As an agency user, I want to submit my data elements surrounded by quotation marks, so that Excel won''t strip off leading and trailing zeroes.","select 98 id,  'As an agency user, I want to submit my data elements surrounded by quotation marks, so that Excel won''t strip off leading and trailing zeroes.' aa union "
99,"As a Public User, I want to Search for Information, so that I can obtain publicly available information concerning properties, County services, processes and other general information.","select 99 id,  'As a Public User, I want to Search for Information, so that I can obtain publicly available information concerning properties, County services, processes and other general information.' aa union "
100,"As a ProspectiveApplicant, I want to research requirements and to select a service, so that I can find the relevant service and/or application type to initiate via the online portal.","select 100 id,  'As a ProspectiveApplicant, I want to research requirements and to select a service, so that I can find the relevant service and/or application type to initiate via the online portal.' aa union "
101,"As an Applicant, I want to Request PreApplicationAssistance, so that I can receive a response to a request for a meeting or information that is a result of the preapplicationAssistance.","select 101 id,  'As an Applicant, I want to Request PreApplicationAssistance, so that I can receive a response to a request for a meeting or information that is a result of the preapplicationAssistance.' aa union "
102,"As a Customer, I want to Create a Customer Portal User Account, so that I can log on to the Customer Portal and perform transactions that first require user authentication.","select 102 id,  'As a Customer, I want to Create a Customer Portal User Account, so that I can log on to the Customer Portal and perform transactions that first require user authentication.' aa union "
103,"As an Applicant, I want to Submit Application, so that I can provide my information, plans and/or documents to initiate a transaction with the County.","select 103 id,  'As an Applicant, I want to Submit Application, so that I can provide my information, plans and/or documents to initiate a transaction with the County.' aa union "
104,"As an Applicant, I want to Submit Supporting Documentation, so that I can satisfy documentation requirements for my application.","select 104 id,  'As an Applicant, I want to Submit Supporting Documentation, so that I can satisfy documentation requirements for my application.' aa union "
105,"As an Applicant, I want to Pay Fee, so that I can satisfy outstanding chargeAssociated with the service requested or received from the County.","select 105 id,  'As an Applicant, I want to Pay Fee, so that I can satisfy outstanding chargeAssociated with the service requested or received from the County.' aa union "
106,"As an Applicant, I want to Check the Status of a transaction, so that I can understand where the provisioning of my service is in the process, suchAs information related to service levels, fees, plan review, permit, or inspection results.","select 106 id,  'As an Applicant, I want to Check the Status of a transaction, so that I can understand where the provisioning of my service is in the process, suchAs information related to service levels, fees, plan review, permit, or inspection results.' aa union "
107,"As an Applicant, I want to Modify my Application, so that I can successfully change information on an application.","select 107 id,  'As an Applicant, I want to Modify my Application, so that I can successfully change information on an application.' aa union "
108,"As a Staff member, I want to Perform a Completeness Review, so that I can validate when an application is complete and eligible for further technical review.","select 108 id,  'As a Staff member, I want to Perform a Completeness Review, so that I can validate when an application is complete and eligible for further technical review.' aa union "
109,"As a Staff member, I want to Record an Internal Note, so that I can share information with other Staff collaborating on the record.","select 109 id,  'As a Staff member, I want to Record an Internal Note, so that I can share information with other Staff collaborating on the record.' aa union "
110,"As a Staff member, I want toAssign an Application for Detailed Review, so that I can review the for compliance and subsequently approved or denied.","select 110 id,  'As a Staff member, I want toAssign an Application for Detailed Review, so that I can review the for compliance and subsequently approved or denied.' aa union "
111,"As a Staff member, I want to Apply a Hold, so that I can prevent progression through the workflow or other actions in the system until the issue is resolved.","select 111 id,  'As a Staff member, I want to Apply a Hold, so that I can prevent progression through the workflow or other actions in the system until the issue is resolved.' aa union "
112,"As a Staff member, I want to Remove a Hold, so that I can allow progression through the workflow or other actions in the system now that the issue has been resolved.","select 112 id,  'As a Staff member, I want to Remove a Hold, so that I can allow progression through the workflow or other actions in the system now that the issue has been resolved.' aa union "
113,"As a Staff member, I want to Send a Formal Response to Applicant, so that I can satisfy communication and records responsibilities.","select 113 id,  'As a Staff member, I want to Send a Formal Response to Applicant, so that I can satisfy communication and records responsibilities.' aa union "
114,"As a Staff member, I want to Track  the Draft Proffers, so that I can preserve the history of draft proffer statements submitted by the Applicant.","select 114 id,  'As a Staff member, I want to Track  the Draft Proffers, so that I can preserve the history of draft proffer statements submitted by the Applicant.' aa union "
115,"As a Staff member, I want to Manage Approved Proffers, so that I can ensure compliance with and satisfaction of the proffer in the future.","select 115 id,  'As a Staff member, I want to Manage Approved Proffers, so that I can ensure compliance with and satisfaction of the proffer in the future.' aa union "
116,"As a Staff member, I want to Manage Ordinances, so that I can maintain accurate ordinance information in the System.","select 116 id,  'As a Staff member, I want to Manage Ordinances, so that I can maintain accurate ordinance information in the System.' aa union "
117,"As a Staff member, I want to Schedule a Meeting, so that I can bring the required parties together at a specific date/time to address an issue.","select 117 id,  'As a Staff member, I want to Schedule a Meeting, so that I can bring the required parties together at a specific date/time to address an issue.' aa union "
118,"As a staff member, I want to denote an application with a Final Action status. So that I can finish it.","select 118 id,  'As a staff member, I want to denote an application with a Final Action status. So that I can finish it.' aa union "
119,"As a Planning Staff member, I want to Conduct and Track Plan Amendments and Planning Studies, so that I can record work in process, outcome, and location-based information related to the Plan(s).","select 119 id,  'As a Planning Staff member, I want to Conduct and Track Plan Amendments and Planning Studies, so that I can record work in process, outcome, and location-based information related to the Plan(s).' aa union "
120,"As a Planning Staff member, I want to Generate Planning-related Reports, so that I can access, analyze and/or export the needed information in the format I requested.","select 120 id,  'As a Planning Staff member, I want to Generate Planning-related Reports, so that I can access, analyze and/or export the needed information in the format I requested.' aa union "
121,"As a Planning Staff member, I want to Evaluate Consistency with the Comprehensive Plan, so that I can complete my required review of a plan set and/or application.","select 121 id,  'As a Planning Staff member, I want to Evaluate Consistency with the Comprehensive Plan, so that I can complete my required review of a plan set and/or application.' aa union "
122,"As a Staff member, I want to Perform a Staff Review, so that I can validate compliance of an application with the Zoning Ordinance and impact approval/denial of the application accordingly.","select 122 id,  'As a Staff member, I want to Perform a Staff Review, so that I can validate compliance of an application with the Zoning Ordinance and impact approval/denial of the application accordingly.' aa union "
123,"As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant.","select 123 id,  'As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant.' aa union "
124,"As a Zoning Staff member, I want to Issue the Zoning-Related Permits, so that I can satisfy an Applicant''s request for service that has proven to be eligible and in compliance with the Zoning Ordinance.","select 124 id,  'As a Zoning Staff member, I want to Issue the Zoning-Related Permits, so that I can satisfy an Applicant''s request for service that has proven to be eligible and in compliance with the Zoning Ordinance.' aa union "
125,"As a Staff member, I want to Develop a Staff Report, so that I can publish and distribute the report according to business rules.","select 125 id,  'As a Staff member, I want to Develop a Staff Report, so that I can publish and distribute the report according to business rules.' aa union "
126,"As a Staff member, I want to Manage Hearing Calendars, so that I can track hearing-related activities and due dates.","select 126 id,  'As a Staff member, I want to Manage Hearing Calendars, so that I can track hearing-related activities and due dates.' aa union "
127,"As a Staff member, I want toAssign a Hearing Date, so that I can present the application to the appropriate governing body within the timelines dictated by the relevant County rules and procedures.","select 127 id,  'As a Staff member, I want toAssign a Hearing Date, so that I can present the application to the appropriate governing body within the timelines dictated by the relevant County rules and procedures.' aa union "
128,"As a Staff member, I want to Manage Affidavits, so that I can ensure compliance with the requirements prior to the hearing.","select 128 id,  'As a Staff member, I want to Manage Affidavits, so that I can ensure compliance with the requirements prior to the hearing.' aa union "
129,"As an Applicant, I want to Satisfy Hearing Requirements, so that I can ensure all pre-hearing requirements are satisfied in time for the hearing.","select 129 id,  'As an Applicant, I want to Satisfy Hearing Requirements, so that I can ensure all pre-hearing requirements are satisfied in time for the hearing.' aa union "
130,"As a Staff member, I want to Prepare for and Support Hearing Execution, so that I can ensure all pre-hearing requirements are satisfied and staff and Applicant are ready for the hearing.","select 130 id,  'As a Staff member, I want to Prepare for and Support Hearing Execution, so that I can ensure all pre-hearing requirements are satisfied and staff and Applicant are ready for the hearing.' aa union "
131,"As a Staff member, I want to Capture a Hearing Decision, so that I can enforce the system.","select 131 id,  'As a Staff member, I want to Capture a Hearing Decision, so that I can enforce the system.' aa union "
132,"As a Staff member, I want to Process the Appeals, so that I can track the outcome and record the impact on the relevant records.","select 132 id,  'As a Staff member, I want to Process the Appeals, so that I can track the outcome and record the impact on the relevant records.' aa union "
133,"As a Plan Review Staff member, I want toAssign Plans for Review, so that I can ensure plans have beenAssigned to the appropriate Plan Reviewer.","select 133 id,  'As a Plan Review Staff member, I want toAssign Plans for Review, so that I can ensure plans have beenAssigned to the appropriate Plan Reviewer.' aa union "
134,"As a Plan Review Staff Supervisor, I want to Manage Plan Reviewer Workload, so that I can monitor and effectively adjust workloadAs necessary and ensure service levels are met","select 134 id,  'As a Plan Review Staff Supervisor, I want to Manage Plan Reviewer Workload, so that I can monitor and effectively adjust workloadAs necessary and ensure service levels are met' aa union "
135,"As an Applicant, I want to Request a Plan Review Meeting, so that I can meet with the Plan Review Staff regarding the plan review.","select 135 id,  'As an Applicant, I want to Request a Plan Review Meeting, so that I can meet with the Plan Review Staff regarding the plan review.' aa union "
136,"As a Plan Review Staff member, I want to successfully Conduct a Plan Review Meeting with the Applicant and record the outcome, so that I can listen to it again.","select 136 id,  'As a Plan Review Staff member, I want to successfully Conduct a Plan Review Meeting with the Applicant and record the outcome, so that I can listen to it again.' aa union "
137,"As a Plan Review Staff member, I want to Review Plans, so that I can review them for compliance and either approve, or fail or deny the plans and record any conditions, clearances, or corrections needed from the Applicant.","select 137 id,  'As a Plan Review Staff member, I want to Review Plans, so that I can review them for compliance and either approve, or fail or deny the plans and record any conditions, clearances, or corrections needed from the Applicant.' aa union "
138,"As an Applicant, I want to Resubmit Plans, so that I can review revised plans. ","select 138 id,  'As an Applicant, I want to Resubmit Plans, so that I can review revised plans. ' aa union "
139,"As a Plan Review Staff Member, I want to Review the Code Modifications submitted by the Applicant, so that I can review the request and if approved,Associate it with the appropriate project.","select 139 id,  'As a Plan Review Staff Member, I want to Review the Code Modifications submitted by the Applicant, so that I can review the request and if approved,Associate it with the appropriate project.' aa union "
140,"As a Plan Review Staff member, I want to Track the Completion of Required Plan Reviews, so that I can ensure all plan review tasks are completed, results have been sent to the Applicant and any downstream steps are initiated such has a final review or payment for permit issuance.","select 140 id,  'As a Plan Review Staff member, I want to Track the Completion of Required Plan Reviews, so that I can ensure all plan review tasks are completed, results have been sent to the Applicant and any downstream steps are initiated such has a final review or payment for permit issuance.' aa union "
141,"As a Development Staff member, I want to Issue a Development-related Permit, so that I can grant the request to the Applicant to begin work","select 141 id,  'As a Development Staff member, I want to Issue a Development-related Permit, so that I can grant the request to the Applicant to begin work' aa union "
142,"As a Staff member, I want to Manage Bonds, so that I can track and manage bonds throughout the lifecycle of the project until release.","select 142 id,  'As a Staff member, I want to Manage Bonds, so that I can track and manage bonds throughout the lifecycle of the project until release.' aa union "
143,"As an Applicant, I want to Complete Building Development Project, so that I can receive any posted bond and/or obtain occupancy.","select 143 id,  'As an Applicant, I want to Complete Building Development Project, so that I can receive any posted bond and/or obtain occupancy.' aa union "
