Story,Word,Tag
story 521,camp administrator,User
story 508,camp administrator,User
story 527,camp administrator,User
story 529,camp administrator,User
story 524,camp administrator,User
story 499,camp administrator,User
story 516,camp administrator,User
story 501,camp administrator,User
story 514,camp administrator,User
story 530,camp administrator,User
story 525,camp administrator,User
story 528,camp administrator,User
story 526,camp administrator,User
story 518,camp administrator,User
story 498,camp administrator,User
story 502,camp administrator,User
story 523,camp administrator,User
story 522,camp administrator,User
story 517,camp administrator,User
story 531,camp administrator,User
story 505,camp administrator,User
story 504,camp administrator,User
story 500,camp administrator,User
story 507,camp administrator,User
story 506,camp administrator,User
story 519,camp administrator,User
story 510,camp administrator,User
story 509,camp administrator,User
story 513,camp administrator,User
story 512,camp administrator,User
story 511,camp administrator,User
story 551,camp counselor,User
story 545,camp worker,User
story 550,camp worker,User
story 546,camp worker,User
story 547,camp worker,User
story 548,camp worker,User
story 549,camp worker,User
story 1770,Certified Scrum Trainer,User
story 1974,citizen,User
story 1972,citizen,User
story 1976,citizen,User
story 1978,citizen,User
story 1970,citizen,User
story 1977,citizen,User
story 310,Civic Tech Activist,User
story 446,CMS administrator,User
story 449,CMS SME,User
story 689,collection curator,User
story 733,collection curator,User
story 720,collection curator,User
story 732,collection curator,User
story 688,collection curator,User
story 727,collection curator,User
story 683,collection curator,User
story 703,collection curator,User
story 690,collection curator,User
story 687,collection curator,User
story 719,collection curator,User
story 684,collection curator,User
story 691,collection curator,User
story 682,collection curator,User
story 685,collection curator,User
story 676,collection curator,User
story 704,collection curator,User
story 728,collection curator,User
story 712,collection curator,User
story 721,collection curator,User
story 673,collection curator,User
story 672,collection curator,User
story 735,collection curator,User
story 729,collection curator,User
story 730,collection owner,User
story 189,company accountant,User
story 1766,company,User
story 1806,company,User
story 1804,company,User
story 1805,company,User
story 187,company,User
story 414,company,User
story 620,Consumer,User
story 653,Consumer,User
story 655,Consumer,User
story 652,Consumer,User
story 640,Consumer,User
story 635,Consumer,User
story 650,Consumer,User
story 649,Consumer,User
story 618,Consumer,User
story 637,Consumer,User
story 658,Consumer,User
story 634,Consumer,User
story 633,Consumer,User
story 656,Consumer,User
story 654,Consumer,User
story 630,Consumer,User
story 632,Consumer,User
story 626,Consumer,User
story 651,Consumer,User
story 657,Consumer,User
story 628,consumer,User
story 461,content designer,User
story 459,content designer,User
story 481,content editor,User
story 434,content editor,User
story 2158,Content Owner,User
story 1524,Cornell faculty member,User
story 1533,Cornell faculty member,User
story 1534,Cornell faculty member,User
story 1569,Cornell faculty member,User
story 1520,Cornell faculty member,User
story 1519,Cornell faculty member,User
story 1548,Cornell faculty member,User
story 1518,Cornell faculty member,User
story 1511,Cornell faculty member,User
story 1535,Cornell faculty member,User
story 1587,Cornell faculty member,User
story 1531,Cornell faculty member,User
story 1516,Cornell faculty member,User
story 1506,Cornell faculty member,User
story 1571,Cornell faculty member,User
story 1768,corporate sponsor,User
story 1767,corporate sponsor,User
story 415,corporatesponsor,User
story 416,corporatesponsor,User
story 153,County Staff Member,User
story 1515,crossdeptprojteammember,User
story 417,CSM,User
story 412,CSM,User
story 408,CSM,User
story 1769,CSM,User
story 1760,CSM,User
story 418,CST,User
story 102,Customer,User
story 1962,Customer,User
story 1968,Customer,User
story 145,Customer,User
story 1963,Customer,User
story 1964,Customer,User
story 1965,Customer,User
story 1967,Customer,User
story 1966,Customer,User
story 1398,DAMS manager,User
story 1357,DAMS manager,User
story 1356,DAMS manager,User
story 1355,DAMS manager,User
story 1390,DAMS manager,User
story 1397,DAMS manager,User
story 1394,DAMS manager,User
story 1396,DAMS manager,User
story 1393,DAMS manager,User
story 1401,DAMS manager,User
story 1403,DAMS manager,User
story 1332,DAMS manager,User
story 1386,DAMS manager,User
story 1331,DAMS manager,User
story 1395,DAMS manager,User
story 1387,DAMS manager,User
story 1399,DAMS manager,User
story 1392,DAMS manager,User
story 1388,DAMS manager,User
story 1402,DAMS manager,User
story 1391,DAMS manager,User
story 1358,DAMS manager,User
story 1384,DAMS manager,User
story 1362,DAMS manager,User
story 1350,DAMS manager,User
story 1400,DAMS manager,User
story 641,Data Analyst,User
story 638,Data Analyst,User
story 639,Data Analyst,User
story 224,Data Consuming User,User
story 223,Data Consuming User,User
story 227,Data Consuming User,User
story 222,Data Consuming User,User
story 229,Data Consuming User,User
story 256,Data Consuming User,User
story 226,Data Consuming User,User
story 228,Data Consuming User,User
story 230,Data Consuming User,User
story 225,Data Consuming User,User
story 257,Data Consuming User,User
story 722,data contributor,User
story 1617,data curator,User
story 1610,data curator,User
story 1618,data curator,User
story 1124,data librarian,User
story 1142,data librarian,User
story 1189,data manager,User
story 1131,data manager,User
story 1166,data manager,User
story 1119,data manager,User
story 1114,data manager,User
story 1180,data manager,User
story 1141,data manager,User
story 1132,data manager,User
story 1121,data manager,User
story 1171,data manager,User
story 1176,data manager,User
story 1193,data manager,User
story 1175,data manager,User
story 1174,data manager,User
story 1128,data manager,User
story 1168,data manager,User
story 1177,data manager,User
story 1191,data manager,User
story 1914,Data publisher,User
story 250,Data Publishing User,User
story 210,Data Publishing User,User
story 208,Data Publishing User,User
story 214,Data Publishing User,User
story 209,Data Publishing User,User
story 251,Data Publishing User,User
story 219,Data Publishing User,User
story 220,Data Publishing User,User
story 216,Data Publishing User,User
story 218,Data Publishing User,User
story 221,Data Publishing User,User
story 253,Data Publishing User,User
story 252,Data Publishing User,User
story 247,Data Publishing User,User
story 215,Data Publishing User,User
story 255,Data Publishing User,User
story 217,Data Publishing User,User
story 1274,data reuser,User
story 1275,data reuser,User
story 1278,data reuser,User
story 1279,data reuser,User
story 1273,data reuser,User
story 1280,data reuser,User
story 1277,data reuser,User
story 1276,data reuser,User
story 760,data scientist,User
story 761,data scientist,User
story 86,data user,User
story 1,Data user,User
story 48,data user,User
story 1940,Data wrangler,User
story 1938,Data wrangler,User
story 1941,Data Wrangler,User
story 1942,Data Wrangler,User
story 1943,Data Wrangler,User
story 758,dataset developer,User
story 748,dataset developer,User
story 755,dataset developer,User
story 757,dataset developer,User
story 773,dataset developer,User
story 750,dataset developer,User
story 749,dataset developer,User
story 774,dataset developer,User
story 772,dataset developer,User
story 776,dataset developer,User
story 759,dataset developer,User
story 751,dataset developer,User
story 754,dataset developer,User
story 2169,dataset owner,User
story 1594,DB/IR administrator,User
story 1597,DB/IR administrator,User
story 1589,DB/IR administrator,User
story 1592,DB/IR administrator,User
story 1568,DB/IR administrator,User
story 1588,DB/IR administrator,User
story 1547,DB/IR administrator,User
story 1510,DB/IR administrator,User
story 1546,DB/IR administrator,User
story 1509,DB/IR administrator,User
story 1596,DB/IR administrator,User
story 1591,DB/IR administrator,User
story 1525,DB/IR administrator,User
story 1590,DB/IR administrator,User
story 1593,DB/IR administrator,User
story 1567,DB/IR administrator,User
story 1566,DB/IR administrator,User
story 1258,depositor,User
story 1272,depositor,User
story 1257,depositor,User
story 1268,depositor,User
story 1251,depositor,User
story 1253,depositor,User
story 1254,depositor,User
story 1259,depositor,User
story 1255,depositor,User
story 726,depositor,User
story 723,depositor,User
story 1252,depositor,User
story 1267,depositor,User
story 1262,depositor,User
story 1260,depositor,User
story 1269,depositor,User
story 1263,depositor,User
story 1270,depositor,User
story 1271,depositor,User
story 1261,depositor,User
story 1256,depositor,User
story 725,depositor,User
story 1264,depositor,User
story 1266,depositor,User
story 1265,depositor,User
story 429,designer,User
story 494,designer,User
story 466,designer,User
story 43,Developer,User
story 71,Developer,User
story 7,Developer,User
story 41,Developer,User
story 63,Developer,User
story 90,Developer,User
story 1238,Developer,User
story 35,Developer,User
story 76,Developer,User
story 31,Developer,User
story 286,Developer,User
story 275,Developer,User
story 285,Developer,User
story 292,developer,User
story 282,Developer,User
story 284,Developer,User
story 308,developer,User
story 283,Developer,User
story 18,Developer,User
story 293,Developer,User
story 294,Developer,User
story 51,Developer,User
story 183,developer,User
story 17,Developer,User
story 8,Developer,User
story 191,developer,User
story 231,Developer,User
story 1033,developer,User
story 1030,developer,User
story 314,Developer,User
story 1300,developer,User
story 678,developer,User
story 277,Developer,User
story 1024,developer,User
story 1025,developer,User
story 280,Developer,User
story 278,Developer,User
story 279,Developer,User
story 261,Developer,User
story 274,Developer,User
story 1937,Developer,User
story 1890,developer,User
story 595,developer,User
story 1034,developer,User
story 1026,developer,User
story 1037,developer,User
story 1891,developer,User
story 596,developer,User
story 1031,developer,User
story 1035,developer,User
story 1023,developer,User
story 1040,developer,User
story 1041,developer,User
story 1036,developer,User
story 1027,developer,User
story 1893,developer,User
story 597,developer,User
story 1895,developer,User
story 598,developer,User
story 425,developer,User
story 1889,developer,User
story 594,developer,User
story 1029,developer,User
story 464,developer,User
story 643,Developer,User
story 1028,developer,User
story 1032,developer,User
story 1022,developer,User
story 81,Developer,User
story 28,Developer,User
story 1039,developer,User
story 89,Developer,User
story 1939,Developer,User
story 775,developer,User
story 16,Developer,User
story 718,developer,User
story 1221,developer,User
story 190,developer,User
story 636,Developer,User
story 323,developer,User
story 317,DeveloperDataWrangler,User
story 319,DeveloperPublisher,User
story 307,DeveloperWrangler,User
story 141,Development Staff member,User
story 9,DevOps engineer,User
story 699,DigitalRecords Archivist,User
story 700,DigitalRecords Archivist,User
story 701,DigitalRecords Archivist,User
story 702,DigitalRecords Archivist,User
story 698,DigitalRecords Archivist,User
story 694,DigitalRecords Archivist,User
story 695,DigitalRecords Archivist,User
story 696,DigitalRecords Archivist,User
story 706,DigitalRecords Archivist,User
story 1162,Director of Research Integrity,User
story 1457,donor representative,User
story 1458,donor representative,User
story 1484,donor representative,User
story 1434,donor representative,User
story 679,DPC,User
story 92,FABS user,User
story 87,FABS user,User
story 69,FABS user,User
story 91,FABS user,User
story 88,FABS user,User
story 94,FABS user,User
story 93,FABS user,User
story 60,FABS user,User
story 85,FABS user,User
story 95,FABS user,User
story 68,FABS user,User
story 82,FABS user,User
story 1186,faculty data steward,User
story 1188,faculty data steward,User
story 1187,faculty data steward,User
story 1504,faculty member,User
story 677,faculty member,User
story 1505,faculty member,User
story 1514,faculty member,User
story 737,faculty member,User
story 1530,faculty member,User
story 1595,faculty member,User
story 1527,faculty member,User
story 1556,faculty member,User
story 1574,faculty member,User
story 1159,funder,User
story 1134,funder,User
story 1155,funder,User
story 1302,fundingbody,User
story 1303,fundingbody,User
story 309,government Publisher,User
story 1975,house builder,User
story 1969,house builder,User
story 2162,HR Manager,User
story 763,hydrator user,User
story 762,hydrator user,User
story 766,hydrator user,User
story 765,hydrator user,User
story 764,hydrator user,User
story 1181,institutional data steward,User
story 900,JuniorResearcher,User
story 151,l Staff member,User
story 840,lab administrator,User
story 838,lab administrator,User
story 808,lab administrator,User
story 855,lab member,User
story 1123,legalofficer,User
story 1522,library staff member,User
story 1512,library staff member,User
story 1565,library staff member,User
story 1532,library staff member,User
story 1564,library staff member,User
story 1612,library staff member,User
story 1528,library staff member,User
story 1598,library staff member,User
story 1558,library staff member,User
story 1562,library staff member,User
story 1573,library staff member,User
story 1561,library staff member,User
story 1549,library staff member,User
story 1609,library staff member,User
story 1611,library staff member,User
story 1585,library staff member,User
story 1586,library staff member,User
story 1613,library staff member,User
story 1560,library staff member,User
story 1559,library staff member,User
story 1557,library staff member,User
story 1575,library staff member,User
story 1584,librarydiscoveryoperator,User
story 281,Machine Learning expert,User
story 1143,manager,User
story 2163,Marketing Data Analyst,User
story 958,MedicalCaregiver,User
story 988,MedicalCaregiver,User
story 1017,MedicalCaregiver,User
story 1021,MedicalCaregiver,User
story 1018,MedicalCaregiver,User
story 937,MedicalCaregiver,User
story 993,MedicalCaregiver,User
story 994,MedicalCaregiver,User
story 996,MedicalCaregiver,User
story 995,MedicalCaregiver,User
story 1012,MedicalCaregiver,User
story 1015,MedicalCaregiver,User
story 1020,MedicalCaregiver,User
story 1008,MedicalCaregiver,User
story 997,MedicalCaregiver,User
story 933,MedicalCaregiver,User
story 998,MedicalCaregiver,User
story 953,MedicalCaregiver,User
story 421,member,User
story 420,member,User
story 1773,member,User
story 1139,metadata manager,User
story 1200,migration specialist,User
story 604,Mike,User
story 1867,moderator,User
story 561,moderator,User
story 1856,moderator,User
story 557,moderator,User
story 1876,moderator,User
story 567,moderator,User
story 1883,moderator,User
story 574,moderator,User
story 1875,moderator,User
story 566,moderator,User
story 1848,moderator,User
story 552,moderator,User
story 1881,moderator,User
story 572,moderator,User
story 1880,moderator,User
story 571,moderator,User
story 1858,moderator,User
story 559,moderator,User
story 1884,moderator,User
story 575,moderator,User
story 1857,moderator,User
story 558,moderator,User
story 1869,moderator,User
story 563,moderator,User
story 1871,moderator,User
story 564,moderator,User
story 1879,moderator,User
story 1878,moderator,User
story 570,moderator,User
story 569,moderator,User
story 1886,moderator,User
story 577,moderator,User
story 1868,moderator,User
story 562,moderator,User
story 1874,moderator,User
story 565,moderator,User
story 1849,moderator,User
story 553,moderator,User
story 579,moderator,User
story 1900,moderator,User
story 1882,moderator,User
story 573,moderator,User
story 1854,moderator,User
story 555,moderator,User
story 1885,moderator,User
story 576,moderator,User
story 1855,moderator,User
story 556,moderator,User
story 1887,moderator,User
story 578,moderator,User
story 1863,moderator,User
story 560,moderator,User
story 1851,moderator,User
story 554,moderator,User
story 1877,moderator,User
story 568,moderator,User
story 1764,new Certified ScrumMaster,User
story 1951,New Registered User,User
story 736,non-Duke researcher,User
story 541,parent,User
story 535,parent,User
story 542,parent,User
story 537,parent,User
story 544,parent,User
story 543,parent,User
story 539,parent,User
story 532,parent,User
story 540,parent,User
story 538,parent,User
story 534,parent,User
story 533,parent,User
story 536,parent,User
story 1814,participant,User
story 1840,participant,User
story 1801,participant,User
story 1816,participant,User
story 1815,participant,User
story 1834,participant,User
story 1838,participant,User
story 1782,participant,User
story 1833,participant,User
story 1824,participant,User
story 1811,participant,User
story 1826,participant,User
story 1830,participant,User
story 1813,participant,User
story 1803,participant,User
story 1828,participant,User
story 1783,participant,User
story 1823,participant,User
story 1817,participant,User
story 1829,participant,User
story 1810,participant,User
story 1872,participant,User
story 591,participant,User
story 1865,participant,User
story 588,participant,User
story 1861,participant,User
story 585,participant,User
story 1862,participant,User
story 586,participant,User
story 1860,participant,User
story 584,participant,User
story 1873,participant,User
story 592,participant,User
story 1888,participant,User
story 593,participant,User
story 1866,participant,User
story 589,participant,User
story 1859,participant,User
story 583,participant,User
story 1832,participant,User
story 1870,participant,User
story 590,participant,User
story 1864,participant,User
story 587,participant,User
story 1837,partner company,User
story 1836,partner company,User
story 1545,patron,User
story 1582,patron,User
story 1583,patron,User
story 1616,patron,User
story 1580,patron,User
story 1581,patron,User
story 1507,patron,User
story 1544,patron,User
story 1508,patron,User
story 1555,patron,User
story 1517,patron,User
story 1973,pedestrian,User
story 1161,PI,User
story 1165,PI,User
story 1117,PI,User
story 1160,PI,User
story 1111,PI,User
story 1122,PI,User
story 793,pipeline designer,User
story 771,pipeline developer,User
story 137,Plan Review Staff member,User
story 139,Plan Review Staff Member,User
story 136,Plan Review Staff member,User
story 140,Plan Review Staff member,User
story 133,Plan Review Staff member,User
story 134,Plan Review Staff Supervisor,User
story 119,Planning Staff member,User
story 121,Planning Staff member,User
story 120,Planning Staff member,User
story 213,Platform Administrator,User
story 211,Platform Administrator,User
story 260,Platform administrator,User
story 212,Platform Administrator,User
story 768,plugin developer,User
story 770,plugin developer,User
story 769,plugin developer,User
story 1157,Postgraduate Convenor,User
story 487,potential research participant,User
story 1683,Practitioner or Trainer,User
story 1680,Practitioner,User
story 329,Practitioner,User
story 332,Practitioner,User
story 100,ProspectiveApplicant,User
story 99,Public User,User
story 1902,Publisher,User
story 1903,Publisher,User
story 263,Publisher,User
story 315,Publisher,User
story 1905,Publisher,User
story 306,publisher,User
story 648,Publisher,User
story 646,Publisher,User
story 625,Publisher,User
story 264,Publisher,User
story 623,Publisher,User
story 645,Publisher,User
story 612,Publisher,User
story 622,Publisher,User
story 1906,Publisher,User
story 617,Publisher,User
story 1908,Publisher,User
story 312,publisher,User
story 311,publisher,User
story 1918,Publisher,User
story 671,Publisher,User
story 1909,Publisher,User
story 611,Publisher,User
story 1953,Publisher,User
story 313,Publisher,User
story 669,Publisher,User
story 609,Publisher,User
story 316,publisher,User
story 615,Publisher,User
story 629,Publisher,User
story 1904,Publisher,User
story 621,Publisher,User
story 619,Publisher,User
story 1901,Publisher,User
story 606,Publisher,User
story 605,Publisher,User
story 1952,Publisher,User
story 631,Publisher,User
story 627,publisher,User
story 670,Publisher,User
story 607,Publisher,User
story 303,Publisher,User
story 644,Publisher,User
story 624,Publisher,User
story 614,Publisher,User
story 1910,Publisher,User
story 613,Publisher,User
story 616,Publisher,User
story 647,Publisher,User
story 1907,Publisher,User
story 1957,Publisher,User
story 324,Publisher,User
story 302,Publisher,User
story 297,Publisher,User
story 1241,ReadOnly user,User
story 375,recruiter,User
story 369,recruiter,User
story 1140,rector,User
story 205,recyclingfacility representative,User
story 206,recyclingfacility representative,User
story 207,recyclingfacility,User
story 804,release engineer,User
story 820,release engineer,User
story 713,repoadmin,User
story 705,repoadmin,User
story 686,repoadmin,User
story 717,repoadmin,User
story 693,repoadmin,User
story 692,repoadmin,User
story 716,repoadmin,User
story 714,repoadmin,User
story 715,repoadmin,User
story 1240,Repository Manager,User
story 1237,Repository Manager,User
story 1153,repository manager,User
story 304,Repository Manager,User
story 1320,repository manager,User
story 675,repository manager,User
story 1305,repository manager,User
story 1311,repository manager,User
story 1306,repository manager,User
story 1313,repository manager,User
story 1322,repository manager,User
story 1342,repository manager,User
story 1367,repository manager,User
story 681,repository manager,User
story 1192,repository manager,User
story 1381,repository manager,User
story 1377,repository manager,User
story 1329,repository manager,User
story 1327,repository manager,User
story 1343,repository manager,User
story 1328,repository manager,User
story 1326,repository manager,User
story 1344,repository manager,User
story 1364,repository manager,User
story 1347,repository manager,User
story 1346,repository manager,User
story 1348,repository manager,User
story 1345,repository manager,User
story 1323,repository manager,User
story 1314,repository manager,User
story 1316,repository manager,User
story 1315,repository manager,User
story 1324,repository manager,User
story 1375,repository manager,User
story 1325,repository manager,User
story 1379,repository manager,User
story 1370,repository manager,User
story 1330,repository manager,User
story 1317,repository manager,User
story 1349,repository manager,User
story 1304,repository manager,User
story 1310,repository manager,User
story 1352,repository manager,User
story 1361,repository manager,User
story 1354,repository manager,User
story 1383,repository manager,User
story 1368,repository manager,User
story 1371,repository manager,User
story 1365,repository manager,User
story 1385,repository manager,User
story 1341,repository manager,User
story 1340,repository manager,User
story 1360,repository manager,User
story 1373,repository manager,User
story 1339,repository manager,User
story 1312,repository manager,User
story 709,repository manager,User
story 710,repository manager,User
story 680,repository manager,User
story 674,repository manager,User
story 711,repository manager,User
story 734,repository manager,User
story 1353,repository manager,User
story 1151,repository operator,User
story 1115,repository owner,User
story 1536,repository support team member,User
story 1570,repository support team member,User
story 1599,repository support team member,User
story 1600,repository support team member,User
story 322,RepositoryManagerResearcher,User
story 1156,Research Centre Director,User
story 1178,research evaluation manager,User
story 1284,research facility manager,User
story 1133,research head,User
story 1295,Research Information manager,User
story 1292,Research Information manager,User
story 1291,Research Information manager,User
story 1294,Research Information manager,User
story 1293,Research Information manager,User
story 435,research participant,User
story 1158,research support officer,User
story 885,researcher,User
story 882,researcher,User
story 894,researcher,User
story 899,researcher,User
story 898,researcher,User
story 897,researcher,User
story 892,researcher,User
story 318,Researcher,User
story 321,Researcher,User
story 320,Researcher,User
story 301,Researcher,User
story 1440,researcher,User
story 603,Researcher,User
story 1898,Researcher,User
story 1135,researcher,User
story 1475,researcher,User
story 1473,researcher,User
story 818,researcher,User
story 1472,researcher,User
story 815,researcher,User
story 291,Researcher,User
story 265,Researcher,User
story 1470,researcher,User
story 272,Researcher,User
story 1194,researcher,User
story 1462,researcher,User
story 877,researcher,User
story 1539,researcher,User
story 811,researcher,User
story 810,researcher,User
story 819,researcher,User
story 445,researcher,User
story 1537,researcher,User
story 1442,researcher,User
story 817,researcher,User
story 1443,researcher,User
story 1451,researcher,User
story 1146,researcher,User
story 1437,researcher,User
story 269,Researcher,User
story 262,Researcher,User
story 273,Researcher,User
story 268,Researcher,User
story 270,Researcher,User
story 271,Researcher,User
story 276,Researcher,User
story 902,researcher,User
story 874,researcher,User
story 1474,researcher,User
story 890,researcher,User
story 884,researcher,User
story 871,researcher,User
story 1550,researcher,User
story 880,researcher,User
story 875,researcher,User
story 873,researcher,User
story 881,researcher,User
story 888,researcher,User
story 868,researcher,User
story 889,researcher,User
story 893,researcher,User
story 883,researcher,User
story 886,researcher,User
story 903,researcher,User
story 879,researcher,User
story 1113,researcher,User
story 1112,researcher,User
story 878,researcher,User
story 1480,researcher,User
story 1152,researcher,User
story 1164,researcher,User
story 1145,researcher,User
story 1479,researcher,User
story 1483,researcher,User
story 1120,researcher,User
story 1148,researcher,User
story 1444,researcher,User
story 1446,researcher,User
story 870,researcher,User
story 1578,researcher,User
story 1447,researcher,User
story 816,researcher,User
story 1540,researcher,User
story 1190,researcher,User
story 1147,researcher,User
story 451,researcher,User
story 1445,researcher,User
story 1459,researcher,User
story 1460,researcher,User
story 1478,researcher,User
story 1471,researcher,User
story 1541,researcher,User
story 901,researcher,User
story 1461,researcher,User
story 1538,researcher,User
story 1183,researcher,User
story 1185,researcher,User
story 1184,researcher,User
story 1438,researcher,User
story 876,researcher,User
story 1441,researcher,User
story 1513,researcher,User
story 1149,researcher,User
story 1450,researcher,User
story 1439,researcher,User
story 814,researcher,User
story 813,researcher,User
story 812,researcher,User
story 1482,researcher,User
story 1477,researcher,User
story 895,researcher,User
story 300,Researcher,User
story 295,Researcher,User
story 299,ResearcherDeveloper,User
story 288,ResearcherGovernment Publisher,User
story 287,ResearcherGovernment Publisher,User
story 289,ResearcherGovernment Publisher,User
story 290,ResearcherGovernment Publisher,User
story 296,ResearcherPublisher,User
story 326,ResearcherPublisher,User
story 266,ResearcherPublisher,User
story 298,ResearcherPublisher,User
story 325,ResearcherPublisher,User
story 267,ResearcherPublisher,User
story 305,ResearcherPublisher,User
story 2142,Reviewer,User
story 2146,Reviewer,User
story 2144,Reviewer,User
story 2143,Reviewer,User
story 1819,search engine,User
story 1038,serious games developer,User
story 1695,site a site editor,User
story 1722,site admin,User
story 1708,site admin,User
story 1724,site admin,User
story 1754,site admin,User
story 1762,site admin,User
story 1721,site admin,User
story 1725,site admin,User
story 370,site admin,User
story 371,site admin,User
story 357,site admin,User
story 373,site admin,User
story 411,site admin,User
story 402,site admin,User
story 374,site admin,User
story 410,site admin,User
story 1763,site admin,User
story 1703,site administrator,User
story 1691,site administrator,User
story 1690,site administrator,User
story 1771,site administrator,User
story 1704,site administrator,User
story 352,site administrator,User
story 340,site administrator,User
story 339,site administrator,User
story 419,site administrator,User
story 353,site administrator,User
story 491,site administrator,User
story 489,site administrator,User
story 1697,site editor,User
story 1758,site editor,User
story 1765,site editor,User
story 1715,site editor,User
story 1775,site editor,User
story 1732,site editor,User
story 1709,site editor,User
story 1733,site editor,User
story 382,site editor,User
story 1736,site editor,User
story 385,site editor,User
story 406,site editor,User
story 413,site editor,User
story 391,site editor,User
story 1742,site editor,User
story 392,site editor,User
story 364,site editor,User
story 423,site editor,User
story 381,site editor,User
story 344,site editor,User
story 358,site editor,User
story 346,site editor,User
story 1743,site editor,User
story 1717,site member,User
story 1679,site member,User
story 1681,site member,User
story 1688,site member,User
story 1687,site member,User
story 1719,site member,User
story 1686,site member,User
story 1689,site member,User
story 1723,site member,User
story 1696,site member,User
story 1685,site member,User
story 327,site member,User
story 366,site member,User
story 328,site member,User
story 330,site member,User
story 1738,site member,User
story 387,site member,User
story 337,site member,User
story 336,site member,User
story 368,site member,User
story 335,site member,User
story 338,site member,User
story 372,site member,User
story 345,site member,User
story 334,site member,User
story 379,site member,User
story 1730,site member,User
story 1844,site owner,User
story 1792,site owner,User
story 1693,site visitor,User
story 1779,site visitor,User
story 1781,site visitor,User
story 1739,site visitor,User
story 1716,site visitor,User
story 1694,site visitor,User
story 1798,site visitor,User
story 1799,site visitor,User
story 1741,site visitor,User
story 1796,site visitor,User
story 1797,site visitor,User
story 1820,site visitor,User
story 1818,site visitor,User
story 1692,site visitor,User
story 1714,site visitor,User
story 1698,site visitor,User
story 1700,site visitor,User
story 1699,site visitor,User
story 1780,site visitor,User
story 1821,site visitor,User
story 1740,site visitor,User
story 1713,site visitor,User
story 1778,site visitor,User
story 1759,site visitor,User
story 1812,site visitor,User
story 1711,site visitor,User
story 1747,site visitor,User
story 1822,site visitor,User
story 1735,site visitor,User
story 1757,site visitor,User
story 342,site visitor,User
story 1749,site visitor,User
story 398,site visitor,User
story 1737,site visitor,User
story 386,site visitor,User
story 384,site visitor,User
story 388,site visitor,User
story 365,site visitor,User
story 343,site visitor,User
story 360,site visitor,User
story 1746,site visitor,User
story 395,site visitor,User
story 1748,site visitor,User
story 397,site visitor,User
story 396,site visitor,User
story 390,site visitor,User
story 1728,site visitor,User
story 377,site visitor,User
story 341,site visitor,User
story 363,site visitor,User
story 347,site visitor,User
story 349,site visitor,User
story 348,site visitor,User
story 1750,site visitor,User
story 399,site visitor,User
story 403,site visitor,User
story 1745,site visitor,User
story 394,site visitor,User
story 389,site visitor,User
story 362,site visitor,User
story 361,site visitor,User
story 405,site visitor,User
story 407,site visitor,User
story 1712,site visitor,User
story 1755,site visitor,User
story 972,SocialCaregiver,User
story 1000,SocialCaregiver,User
story 999,SocialCaregiver,User
story 1072,sponsor,User
story 1091,sponsor,User
story 1105,sponsor,User
story 1093,sponsor,User
story 1078,sponsor,User
story 152,Staff member,User
story 111,Staff member,User
story 131,Staff member,User
story 154,Staff member,User
story 118,staff member,User
story 125,Staff member,User
story 128,Staff member,User
story 115,Staff member,User
